"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","SDA","SCL"
0,-69680,1000000,0,1,1,1,1,1,1,1
8647,-61033,1000000,0,1,1,1,1,0,1,1
8648,-61032,1000000,0,1,1,1,1,1,1,1
8650,-61030,1000000,0,1,1,1,1,0,1,1
8660,-61020,1000000,0,1,1,1,1,1,1,1
8662,-61018,1000000,0,1,1,1,1,0,1,1
9389,-60291,1000000,0,1,1,1,0,0,1,1
9390,-60290,1000000,0,1,1,1,1,0,1,1
9393,-60287,1000000,0,1,1,1,0,0,1,1
9591,-60089,1000000,0,1,1,0,0,0,1,1
9592,-60088,1000000,0,1,1,1,0,0,1,1
9594,-60086,1000000,0,1,1,0,0,0,1,1
9678,-60002,1000000,0,1,0,0,0,0,1,1
9835,-59845,1000000,0,0,0,0,0,0,1,1
15597,-54083,1000000,0,1,0,0,0,0,1,1
15600,-54080,1000000,0,0,0,0,0,0,1,1
15604,-54076,1000000,0,1,0,0,0,0,1,1
15652,-54028,1000000,0,1,1,0,0,0,1,1
15766,-53914,1000000,0,1,1,1,0,0,1,1
15770,-53910,1000000,0,1,1,0,0,0,1,1
15771,-53909,1000000,0,1,1,1,0,0,1,1
15981,-53699,1000000,0,1,1,1,1,0,1,1
15983,-53697,1000000,0,1,1,1,0,0,1,1
15984,-53696,1000000,0,1,1,1,1,0,1,1
15985,-53695,1000000,0,1,1,1,0,0,1,1
15986,-53694,1000000,0,1,1,1,1,0,1,1
16623,-53057,1000000,0,1,1,1,1,1,1,1
16624,-53056,1000000,0,1,1,1,1,0,1,1
16633,-53047,1000000,0,1,1,1,1,1,1,1
16639,-53041,1000000,0,1,1,1,1,0,1,1
16640,-53040,1000000,0,1,1,1,1,1,1,1
16641,-53039,1000000,0,1,1,1,1,0,1,1
16643,-53037,1000000,0,1,1,1,1,1,1,1
28616,-41064,1000000,0,1,1,1,1,0,1,1
28623,-41057,1000000,0,1,1,1,1,1,1,1
28624,-41056,1000000,0,1,1,1,1,0,1,1
29356,-40324,1000000,0,1,1,1,0,0,1,1
29357,-40323,1000000,0,1,1,1,1,0,1,1
29358,-40322,1000000,0,1,1,1,0,0,1,1
29559,-40121,1000000,0,1,1,0,0,0,1,1
29560,-40120,1000000,0,1,1,1,0,0,1,1
29561,-40119,1000000,0,1,1,0,0,0,1,1
29563,-40117,1000000,0,1,1,1,0,0,1,1
29564,-40116,1000000,0,1,1,0,0,0,1,1
29645,-40035,1000000,0,1,0,0,0,0,1,1
29804,-39876,1000000,0,0,0,0,0,0,1,1
35568,-34112,1000000,0,1,0,0,0,0,1,1
35621,-34059,1000000,0,1,1,0,0,0,1,1
35622,-34058,1000000,0,1,0,0,0,0,1,1
35623,-34057,1000000,0,1,1,0,0,0,1,1
